expediente,titulo,organo,provincia,fecha_actualizacion,fecha_limite,presupuesto,cpv,categorias,relevancia,coincidencias,enlace,fuente,texto
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/14786567,Servicio de asistencia técnica para la gestión del plan de sostenibilidad turística en destino de Calp (Alicante),Sin identificar,Alicante,2026-08-26T13:44:57.064+02:00,2024-05-10 10:00:00,66115.7 EUR,72222000,Turismo territorial,62,"plan de sostenibilidad turística en destino, plan de sostenibilidad turistica en destino",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=QKZ5shiOPC4eIBJRHQiPkQ%3D%3D,PLACSP - perfiles,Servicio de asistencia técnica para la gestión del plan de sostenibilidad turística en destino de Calp (Alicante) | Servicio de asistencia técnica para la gestión del plan de sostenibilidad turística en destino de Calp (Alicante) | España | Id licitación: SER 23/2024-NextGeneration; Órgano de Contratación: Alcaldía del Ajuntament de Calp; Importe: 66115.7 EUR; Estado: RES
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20262208,"Contrato de servicios para la elaboración del Plan de Movilidad Sostenible al Trabajo de Ayuntamiento de Santa Cruz de Tenerife en cumplimiento del artículo 26 de la Ley 9/2025, de 3 de diciembre, de Movilidad Sostenible.",Sin identificar,Valencia,2026-08-26T13:59:59.664+02:00,2026-08-21 23:59:00,46429.14 EUR,"71311200, 71300000",Movilidad; Accesibilidad,86,"plan de movilidad, accesibilidad universal",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=s8CPBw2845i5HQrHoP3G5A%3D%3D,PLACSP - perfiles,"Contrato de servicios para la elaboración del Plan de Movilidad Sostenible al Trabajo de Ayuntamiento de Santa Cruz de Tenerife en cumplimiento del artículo 26 de la Ley 9/2025, de 3 de diciembre, de Movilidad Sostenible. | Contrato de servicios para la elaboración del Plan de Movilidad Sostenible al Trabajo de Ayuntamiento de Santa Cruz de Tenerife en cumplimiento del artículo 26 de la Ley 9/2025, de 3 de diciembre, de Movilidad Sostenible. | España | Id licitación: SCT2026000256; Órgano de Contratación: Concejalía Delegada en materia de Movilidad y Accesibilidad Universal del Ayuntamiento de Santa Cruz de Tenerife; Importe: 42208.31 EUR; Estado: EV"
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19542862,Mantenimiento y conservación de las zonas verdes e instalaciones de riego incluidas en el ámbito del plan especial de usos e infraestructuras de Benidorm-Finestrat,Sin identificar,Alicante,2026-08-27T09:29:48.634+02:00,2026-05-21 14:00:00,1041180.1 EUR,"77311000, 77314000, 77310000",Planificación territorial/urbanística,46,plan especial,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=p%2FSUB%2BcD3SWLAncw3qdZkA%3D%3D,PLACSP - perfiles,"Mantenimiento y conservación de las zonas verdes e instalaciones de riego incluidas en el ámbito del plan especial de usos e infraestructuras de Benidorm-Finestrat | Mantenimiento y conservación de las zonas verdes e instalaciones de riego incluidas en el ámbito del plan especial de usos e infraestructuras de Benidorm-Finestrat | España | una nueva anualiad al vencimiento de mutuo acuerdo, siendo obligatoria para la contratista en caso de que se realice el preaviso previsto en el pliego y lcsp | Id licitación: CMAYOR/2026/SPTD0/0007; Órgano de Contratación: Dirección General de la Sociedad de Proyectos para la Transformación Digital, SAU; Importe: 520590.05 EUR; Estado: RES"
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20344485,"Servicio de redacción de los proyectos técnicos para las actuaciones comprendidas en el plan de actuación integrado denominado Sant Joan Suma en el marco del Desarrollo Urbano Sostenible, con cargo al Fondo Europeo de Desarrollo Regional en el periodo de programación 2021-2027.",Sin identificar,Alicante,2026-08-28T08:50:07.997+02:00,2026-09-22 15:00:00,842425.99 EUR,"71000000, 71420000, 71242000, 71315300, 71351810, 71247000, 71356100, 71222000, 71332000, 71317200",Planificación urbana; Infraestructura verde; Desarrollo local,100,"desarrollo urbano sostenible, renaturalización, renaturalizacion, desarrollo urbano",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=z9BIw7Z8kqWdkQsA7ROvsg%3D%3D,PLACSP - perfiles,"Servicio de redacción de los proyectos técnicos para las actuaciones comprendidas en el plan de actuación integrado denominado Sant Joan Suma en el marco del Desarrollo Urbano Sostenible, con cargo al Fondo Europeo de Desarrollo Regional en el periodo de programación 2021-2027. | Servicio de redacción de los proyectos técnicos para las actuaciones comprendidas en el plan de actuación integrado denominado Sant Joan Suma en el marco del Desarrollo Urbano Sostenible, con cargo al Fondo Europeo de Desarrollo Regional en el periodo de programación 2021-2027. | España | Para la redacción de los proyectos de los 4 lotes, el Arquitecto/Ingeniero ha de contar con experiencia en redacción de proyectos similares con un mínimo de una obra del mismo o superior PEM a lo largo de la vida profesional. Se entiende por similar aquellos proyectos de obras cuyos 3 primeros dígitos del CPV coincidan con el de las obras proyectadas. Ello con fundamento en la necesidad de garantizar un nivel adecuado de competencia, a tenor de lo dispuesto en el artículo 90.a) de la LCSP. Se acreditará mediante certificados expedidos o visados por el órgano competente cuando el destinatario sea una entidad del sector público; cuando el destinatario sea un sujeto privado mediante un certificado expedido por éste. Igualmente se podrá acreditar con certificados expedidos por el Colegio Profesional correspondiente. En dicho certificado se relacionará el título, objeto y naturaleza del proyecto y dirección de obra, con indicación de presupuesto, superficie construida y uso, así como código correspondiente según el CPV. Los licitadores deberán declarar su solvencia técnica y/o profesional a través de lo cumplimentado en la declaración responsable a presentar; los ganadores deberán, además, acreditarla posteriormente con los con los medios descritos en el PPT. | -Equipo mínimo obligatorio: Arquitecto colegiado o sociedad de arquitectura colegiada o de ingeniero de caminos colegiado o sociedad de ingeniería colegiada, que deberá estar liderado por uno o varios técnicos con titulación homologada en España, habilitante para el ejercicio profesional.
-Para la redacción del Proyecto Básico y del Proyecto de Ejecución, así como para la Dirección de Obra: un técnico que cuente con la titulación habilitante y colegiación oficial correspondiente, la cual se acreditará mediante certificado (original o copia compulsada) de inscripción en el Colegio Profesional competente.
-Para la coordinación de seguridad y salud en fase de Proyecto, técnico con titulación habilitante, que cuente con la titulación y colegiación oficial correspondiente, la cual se acreditará mediante certificado (original o copia compulsada) de inscripción en el Colegio Profesional competente.
-Para el resto de técnicos encargados directamente de la ejecución de los servicios que integran el contrato, título oficial (original o copia compulsada) que acredite la habilitación legal, competencia profesional y/o formación específica en la materia objeto, con currículo profesional justificativo; o en su caso, certificado del Secretario del Colegio Profesional correspondiente que acredite tal circunstancia.


Modo de acreditación: Se presentará declaración jurada del profesional o representante legal de la empresa en la que se relacionen los miembros del equipo técnico con indicación de las titulaciones académicas, comprometiéndose a adscribir a la ejecución del contrato, al que hace referencia el apartado 9 de estas Bases, dichos medios personales (Anexo II). Al efecto se acompañará una descripción de las funciones de cada puesto de trabajo, personal técnico que las desarrolle, experiencia del mismo y dedicación prevista, así como titulación académica y profesional, al menos, del representante del equipo y de los técnicos encargados directamente de la ejecución de los servicios que integran el contrato, incluidos los de aquellos que desarrollen trabajos mediante subcontratación en los términos regulados en los Pliegos. | Declaración sobre el volumen anual de negocios del licitador referido al año de mayor volumen de negocio de los tres últimos concluidos de importe igual o superior al valor estimado del lote o lotes para los que oferta. | Declaración sobre existencia de un seguro de responsabilidad civil por riesgos profesionales por un importe igual o superior al valor estimado del lote o lotes para los que oferta. | Capacidad de obrar | No prohibición para contratar | LOTE 1. PROYECTO 1.1. Regeneración urbana y renaturalización del tramo IV de la Av. Miguel Hernández | LOTE 2. PROYECTO 1.2. Conversión del Parque municipal en refugio climático | -Equipo mínimo obligatorio: Ingeniero de Caminos, Canales y Puertos (o master habilitante) colegiado, un Ingeniero hidráulico (especialista en modelización de redes), un Ingeniero de Estructuras, (cálculo del depósito), un Ingeniero Eléctrico Automatización (para bombeos y sistema SCADA). Deberá estar liderado por uno o varios técnicos con titulación homologada en España, habilitante para el ejercicio profesional.
-Para la redacción del Proyecto Básico y del Proyecto de Ejecución, así como para la Dirección de Obra: un técnico que cuente con la titulación habilitante y colegiación oficial correspondiente, la cual se acreditará mediante certificado (original o copia compulsada) de inscripción en el Colegio Profesional competente.
-Para la coordinación de seguridad y salud en fase de Proyecto, técnico con titulación habilitante, que cuente con la titulación y colegiación oficial correspondiente, la cual se acreditará mediante certificado (original o copia compulsada) de inscripción en el Colegio Profesional competente.
-Para el resto de técnicos encargados directamente de la ejecución de los servicios que integran el contrato, título oficial (original o copia compulsada) que acredite la habilitación legal, competencia profesional y/o formación específica en la materia objeto, con currículo profesional justificativo; o en su caso, certificado del Secretario del Colegio Profesional correspondiente que acredite tal circunstancia.
-El Estudio geotécnico deberá ser realizado por una empresa especializada, liderada por ingeniero o geólogo colegiado.

Modo de acreditación: Se presentará declaración jurada del profesional o representante legal de la empresa en la que se relacionen los miembros del equipo técnico con indicación de las titulaciones académicas, comprometiéndose a adscribir a la ejecución del contrato, al que hace referencia el apartado 9 de estas Bases, dichos medios personales (Anexo II). Al efecto se acompañará una descripción de las funciones de cada puesto de trabajo, personal técnico que las desarrolle, experiencia del mismo y dedicación prevista, así como titulación académica y profesional, al menos, del representante del equipo y de los técnicos encargados directamente de la ejecución de los servicios que integran el contrato, incluidos los de aquellos que desarrollen trabajos mediante subcontratación en los términos regulados en los Pliegos. | LOTE 3. PROYECTO 1.3. Creación de infraestructura de canalización y almacenamiento de agua depurada para su reutilización en el mantenimiento de zonas verdes y calles. | -Equipo mínimo obligatorio: Arquitecto colegiado e Ingeniero Industrial colegiado, con titulación homologada en España, habilitante para el ejercicio profesional.
-Para la redacción del Proyecto Básico y del Proyecto de Ejecución, así como para la Dirección de Obra: un técnico que cuente con la titulación habilitante y colegiación oficial correspondiente, la cual se acreditará mediante certificado (original o copia compulsada) de inscripción en el Colegio Profesional competente.
-Para la coordinación de seguridad y salud en fase de Proyecto, técnico con titulación habilitante, que cuente con la titulación y colegiación oficial correspondiente, la cual se acreditará mediante certificado (original o copia compulsada) de inscripción en el Colegio Profesional competente.
-"
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18304271,"Obra Cuarto Plan Anual del Plan Especial de Ordenación del monte el Plano, TM de Sax (Alicante).",Sin identificar,Alicante,2026-08-28T10:04:36.356+02:00,2025-12-05 23:59:00,57851.24 EUR,"45112700, 45262640",Planificación territorial/urbanística,70,plan especial,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=VTTubZqB5WeIzo3LHNPGcQ%3D%3D,PLACSP - perfiles,"Obra Cuarto Plan Anual del Plan Especial de Ordenación del monte el Plano, TM de Sax (Alicante). | Obra Cuarto Plan Anual del Plan Especial de Ordenación del monte el Plano, TM de Sax (Alicante). | España | Id licitación: O4S-222/2025; Órgano de Contratación: Presidencia de la Diputación Provincial de Alicante; Importe: 57851.24 EUR; Estado: EV"
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19845555,Asistencia técnica para la elaboración de un Plan de Movilidad Sostenible al Trabajo para el holding municipal,Sin identificar,Valencia,2026-08-28T10:57:27.177+02:00,2026-06-26 09:30:00,59345.23 EUR,71311200,Movilidad,72,plan de movilidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=P2z9xTFwOROFQ%2FlhRK79lA%3D%3D,PLACSP - perfiles,Asistencia técnica para la elaboración de un Plan de Movilidad Sostenible al Trabajo para el holding municipal | Asistencia técnica para la elaboración de un Plan de Movilidad Sostenible al Trabajo para el holding municipal | España | un plazo de prórroga máximo opcional de 1 mes. | Id licitación: L44 2026; Órgano de Contratación: Dirección Gerencia de la Empresa Municipal de Iniciativas y Actividades Empresariales de Málaga S.A.; Importe: 59345.23 EUR; Estado: RES
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20274991,Proyecto de filtración y cloración en Calga. Ayuntamiento de Anievas.,Sin identificar,Alicante,2026-08-28T12:36:25.308+02:00,2026-08-21 13:00:00,63658.1 EUR,45232150,Planificación territorial/urbanística,38,"ordenación del territorio, ordenacion del territorio",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=CjYPRxBMF7GcTfjQf3USOg%3D%3D,PLACSP - perfiles,"Proyecto de filtración y cloración en Calga. Ayuntamiento de Anievas. | Proyecto de filtración y cloración en Calga. Ayuntamiento de Anievas. | España | Id licitación: 4.1.48/26; Órgano de Contratación: Consejería de Fomento, Vivienda, Ordenación del Territorio y Medio Ambiente de la Comunidad Autónoma de Cantabria; Importe: 63658.1 EUR; Estado: EV"
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18181173,El objeto de la presente contratación es la contratación de los servicios de asistencia técnica para la dirección de obras y coordinación de seguridad y salud del proyecto de eliminación de barreras arquitectónicas de la planta baja de la casa consistorial,Sin identificar,Valencia,2026-08-31T09:52:19.214+02:00,2025-11-04 19:00:00,1452.49 EUR,71000000,Accesibilidad,62,"barreras arquitectónicas, barreras arquitectonicas",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=HjLN%2FXNWsD%2BLAncw3qdZkA%3D%3D,PLACSP - perfiles,El objeto de la presente contratación es la contratación de los servicios de asistencia técnica para la dirección de obras y coordinación de seguridad y salud del proyecto de eliminación de barreras arquitectónicas de la planta baja de la casa consistorial | El objeto de la presente contratación es la contratación de los servicios de asistencia técnica para la dirección de obras y coordinación de seguridad y salud del proyecto de eliminación de barreras arquitectónicas de la planta baja de la casa consistorial | España | Id licitación: 2487463K; Órgano de Contratación: Alcaldia del Ayuntamiento de Catadau; Importe: 1452.49 EUR; Estado: RES
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20031628,contratacion del servicio de asistencia tecnica para la redacción del Plan General de Ordenación Municipal PGOM y del Plan POU,Sin identificar,Valencia,2026-09-01T09:28:10.812+02:00,2026-08-14 23:59:00,289256.2 EUR,71410000,Planificación territorial/urbanística,72,plan general,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=80aPPYr93hmOUi78BmzhOQ%3D%3D,PLACSP - perfiles,contratacion del servicio de asistencia tecnica para la redacción del Plan General de Ordenación Municipal PGOM y del Plan POU | contratacion del servicio de asistencia tecnica para la redacción del Plan General de Ordenación Municipal PGOM y del Plan POU | España | Id licitación: 205/2026; Órgano de Contratación: Pleno del Ayuntamiento de Gádor; Importe: 289256.2 EUR; Estado: EV
https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17753728,Servicio de asistencia técnica para la redacción del Plan de Infraestructura Verde y Azul de Málaga (PIVAMA),Sin identificar,Castellón,2026-09-01T14:06:32.570+02:00,2025-08-14 13:00:00,137719.01 EUR,"71313000, 71400000, 90710000, 71240000",Infraestructura verde,78,"infraestructura verde, infraestructura verde y azul",https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=dQmucgFB8ZDL1rX3q%2FMAPA%3D%3D,PLACSP - perfiles,Servicio de asistencia técnica para la redacción del Plan de Infraestructura Verde y Azul de Málaga (PIVAMA) | Servicio de asistencia técnica para la redacción del Plan de Infraestructura Verde y Azul de Málaga (PIVAMA) | España | Duración máxima de la prórroga dos (2) meses | Id licitación: 53/25; Órgano de Contratación: Junta de Gobierno del Ayuntamiento de Málaga; Importe: 103289.26 EUR; Estado: RES
